,1_org_0,1_org_1,1_org_2,1_org_3,1_org_4,1_org_5,1_org_6,1_org_7,1_org_8,1_org_9,1_org_10,1_sim_0,1_sim_1,1_sim_2,1_sim_3,1_sim_4,1_sim_5,1_sim_6,1_sim_7,1_sim_8,1_sim_9,2_org_0,2_org_1,2_org_2,2_org_3,2_org_4,2_org_5,2_org_6,2_org_7,2_org_8,2_org_9,2_sim_0,2_sim_1,2_sim_2,2_sim_3,2_sim_4,2_sim_5,2_sim_6,2_sim_7,2_sim_8,2_sim_9,2_sim_10,3_org_0,3_org_1,3_org_2,3_org_3,3_org_4,3_org_5,3_sim_0,3_sim_1,3_sim_2,3_sim_3,3_sim_4,3_sim_5,3_sim_6,3_sim_7,3_sim_8,3_sim_9,3_sim_10,3_sim_11,4_org_0,4_org_1,4_org_2,4_org_3,4_org_4,4_org_5,4_org_6,4_org_7,4_org_8,4_org_9,4_org_10,4_sim_0,4_sim_1,4_sim_2,4_sim_3,4_sim_4,4_sim_5,4_sim_6,4_sim_7,4_sim_8,4_sim_9,4_sim_10,4_sim_11,5_org_0,5_org_1,5_org_2,5_org_3,5_org_4,5_org_5,5_org_6,5_org_7,5_org_8,5_sim_0,5_sim_1,5_sim_2,5_sim_3,5_sim_4,5_sim_5,5_sim_6,5_sim_7,5_sim_8,6_org_0,6_org_1,6_org_2,6_org_3,6_org_4,6_org_5,6_org_6,6_sim_0,6_sim_1,6_sim_2,6_sim_3,6_sim_4,6_sim_5,6_sim_6,6_sim_7,6_sim_8,6_sim_9,6_sim_10,7_org_0,7_org_1,7_org_2,7_org_3,7_org_4,7_org_5,7_org_6,7_org_7,7_org_8,7_org_9,7_org_10,7_org_11,7_sim_0,7_sim_1,7_sim_2,7_sim_3,7_sim_4,7_sim_5,7_sim_6,7_sim_7,7_sim_8,7_sim_9
1_org_0,1.0000001,0.9924543,0.98858714,0.9899121,0.99251205,0.9900205,0.988772,0.9783231,0.9852922,0.98668987,0.9894922,0.98412484,0.9894727,0.9897332,0.99198437,0.9891499,0.9901315,0.98763686,0.99022216,0.99067336,0.9713624,0.99315685,0.9881262,0.9849626,0.9892896,0.99272764,0.9942227,0.99453336,0.9964608,0.99098676,0.99018764,0.9962343,0.99222857,0.99166137,0.99097884,0.9917948,0.99240136,0.99136925,0.9963507,0.9946802,0.9921315,0.99384916,0.9754014,0.9703206,0.97037584,0.9759545,0.9702984,0.970048,0.91708237,0.95278996,0.97487545,0.96663976,0.9582426,0.97829837,0.9794776,0.9741042,0.9763758,0.9758253,0.9769333,0.97692955,0.9829837,0.9945419,0.99451697,0.9947153,0.9962587,0.99158597,0.9951149,0.99507684,0.99572825,0.99526775,0.9951003,0.9915695,0.9891343,0.99000245,0.9904438,0.99504477,0.98827636,0.98982495,0.99053776,0.9944629,0.99202704,0.9864801,0.98763186,0.94608855,0.9897999,0.9924694,0.98955464,0.9913069,0.99179065,0.99207366,0.9911981,0.988914,0.9947196,0.9923817,0.99402505,0.99451447,0.9923683,0.9942428,0.9949774,0.9932273,0.9962582,0.9938184,0.9943866,0.9946733,0.99534225,0.99611014,0.9945071,0.9903404,0.9845705,0.99140954,0.992746,0.99000347,0.9910325,0.99413645,0.99063486,0.9910791,0.99187225,0.982602,0.9837626,0.99210185,0.99602646,0.9950707,0.9910013,0.9955455,0.9970332,0.99383587,0.9942134,0.9950574,0.9942775,0.99052745,0.9954953,0.99454844,0.9920566,0.9924078,0.9928386,0.99263066,0.99376255,0.9907751,0.99079174,0.9922244,0.9938713
1_org_1,0.9924543,1.0000008,0.9963742,0.99696094,0.9991357,0.9940175,0.99612266,0.99082816,0.9955231,0.9942984,0.99208844,0.97306925,0.98150826,0.9908064,0.9855357,0.98296654,0.99102074,0.9882999,0.99079657,0.9936552,0.9736193,0.982575,0.9780425,0.9907054,0.98236805,0.97940314,0.9840824,0.99162596,0.99408627,0.98271996,0.9824431,0.99127597,0.98302233,0.988185,0.9897511,0.98653334,0.98694396,0.98934084,0.99205136,0.99469316,0.9907846,0.99378836,0.99152386,0.9892332,0.98875356,0.99259007,0.99019426,0.9885653,0.93503726,0.9706485,0.9910604,0.98497,0.9714217,0.99279916,0.994325,0.98857653,0.99361503,0.99319863,0.9922651,0.98985356,0.97508216,0.9853663,0.9879297,0.9869113,0.9899679,0.983975,0.9855942,0.9896795,0.98518586,0.98196906,0.9812643,0.9832837,0.9830038,0.9807994,0.9854199,0.99028623,0.9852751,0.9839601,0.9877732,0.9902049,0.9915302,0.98937255,0.99096435,0.9310402,0.9711546,0.9755631,0.96974933,0.97243106,0.9776175,0.97707856,0.97139376,0.9700196,0.9821897,0.980928,0.9843864,0.9828658,0.98094016,0.9830559,0.9810604,0.98369247,0.9857863,0.9945329,0.9907778,0.9926408,0.99193656,0.99227685,0.9930698,0.98665655,0.9887818,0.9929131,0.99185413,0.9928135,0.9926387,0.9924984,0.9953146,0.9941423,0.9924898,0.98765314,0.9892533,0.98161966,0.98401594,0.9885126,0.9882427,0.9881232,0.9883146,0.99047744,0.9892148,0.9882968,0.98812425,0.9893954,0.98750085,0.9925094,0.99303424,0.99290943,0.9953177,0.9931892,0.99335265,0.9958896,0.99670035,0.994987,0.99445385
1_org_2,0.98858714,0.9963742,0.99999976,0.99884635,0.9984061,0.9986747,0.9991142,0.98894316,0.99834424,0.9990952,0.99567664,0.9712919,0.98357505,0.9919701,0.98592675,0.9857682,0.99299026,0.98658293,0.9893244,0.99608725,0.9724296,0.9825503,0.9728225,0.9870602,0.98597527,0.9792271,0.9802363,0.99220604,0.99057835,0.9851821,0.9854834,0.99207497,0.9867779,0.99194026,0.99183255,0.98982865,0.9902077,0.9891294,0.9916327,0.99340624,0.9917662,0.99344176,0.9937842,0.992604,0.9904567,0.99302435,0.98979795,0.9845305,0.92495674,0.9646553,0.9917691,0.98507905,0.96600306,0.9918804,0.9953002,0.98491377,0.9939039,0.9941779,0.995031,0.9878806,0.97033733,0.9851596,0.98823017,0.9866354,0.98921996,0.9798873,0.9833135,0.989395,0.9852629,0.9798044,0.9780066,0.98321223,0.9853751,0.98392695,0.9896062,0.99089193,0.989606,0.9883518,0.9921866,0.99132246,0.9952426,0.9943386,0.99507046,0.92268723,0.96703875,0.97052926,0.9645651,0.968798,0.97263324,0.9717583,0.9670776,0.9648193,0.97851145,0.9826849,0.9848778,0.98334295,0.9823912,0.9829288,0.9803309,0.9843925,0.9837642,0.9939266,0.98921514,0.99012756,0.9906869,0.9907427,0.9922303,0.98412645,0.9903773,0.99173176,0.99089646,0.99336684,0.9949566,0.99263686,0.9924517,0.9938517,0.9916221,0.9915516,0.9916869,0.9802229,0.9840544,0.9902044,0.99205637,0.9894162,0.9876863,0.99302715,0.991609,0.9899552,0.990404,0.99361134,0.9878675,0.99208426,0.9926042,0.9945262,0.9954753,0.994022,0.994521,0.997097,0.9957764,0.9964245,0.9950378
1_org_3,0.9899121,0.99696094,0.99884635,0.9999998,0.9984786,0.9981327,0.9986005,0.9901241,0.9981733,0.99692446,0.99513125,0.9741232,0.9845199,0.99337,0.9883551,0.9872403,0.9942571,0.9897081,0.99247557,0.995815,0.9759786,0.9831286,0.9769591,0.9911164,0.98551553,0.98064214,0.9830042,0.9928017,0.99185395,0.985618,0.9863491,0.9918644,0.98631924,0.99070334,0.9901538,0.9883333,0.98964447,0.9880196,0.9920128,0.9936119,0.9906024,0.9930406,0.99149483,0.99001795,0.989142,0.9910534,0.98808104,0.9856606,0.930114,0.9691122,0.9931599,0.9857948,0.97184896,0.99352765,0.9948687,0.98763406,0.9936492,0.9934749,0.99379075,0.9907192,0.97563386,0.9872154,0.99007446,0.98903996,0.991822,0.9845517,0.9866454,0.9919398,0.98719954,0.98322207,0.98165816,0.9806624,0.98196787,0.9819408,0.9873698,0.98939145,0.9868078,0.98610765,0.989757,0.99145865,0.99377495,0.99168175,0.99342287,0.9300668,0.97131264,0.9739347,0.9691312,0.9718259,0.97208214,0.972201,0.96970165,0.96873486,0.9798387,0.9809795,0.9832764,0.98204833,0.9807436,0.98142993,0.979786,0.98218894,0.9841375,0.99473816,0.99109036,0.9917926,0.9920192,0.99241364,0.99368346,0.9872924,0.99283177,0.9940933,0.9930347,0.9947504,0.99568695,0.99426633,0.9938443,0.99562824,0.99434614,0.9935835,0.9939134,0.9816444,0.9841992,0.9894486,0.98984575,0.98886836,0.98808134,0.9924139,0.9902389,0.98900867,0.9890843,0.9914993,0.9882479,0.9938105,0.9912604,0.99359167,0.9941119,0.9930446,0.99390215,0.99499005,0.9960571,0.9957973,0.99562997
1_org_4,0.99251205,0.9991357,0.9984061,0.9984786,1.0,0.9963859,0.99761385,0.9914975,0.997286,0.99681693,0.9950624,0.97470766,0.983897,0.9922668,0.98709106,0.98501843,0.9927238,0.9889646,0.991547,0.9956124,0.9755283,0.98338455,0.9780705,0.99013793,0.9839961,0.98058164,0.9840065,0.9925908,0.9941484,0.9839854,0.983966,0.993065,0.9853865,0.9903434,0.9914686,0.9886813,0.9890931,0.99012756,0.9931425,0.99551094,0.99224377,0.99486554,0.99183786,0.99008995,0.98862153,0.9924302,0.9899797,0.98760724,0.93263364,0.96886003,0.9913616,0.98570055,0.97021973,0.99284834,0.99492055,0.9878042,0.9941229,0.99378645,0.99346185,0.9898343,0.9752305,0.986149,0.98867494,0.98755765,0.99080855,0.9842975,0.98595434,0.9903656,0.98632455,0.9826976,0.9819759,0.9849209,0.9851996,0.98328954,0.98783684,0.9916295,0.9871643,0.98636633,0.9901392,0.9917702,0.9935714,0.9912954,0.99266857,0.93167615,0.9714988,0.9756218,0.9698879,0.97318876,0.9777694,0.9770975,0.9719779,0.9705931,0.98365486,0.9836968,0.98677146,0.98515767,0.98346055,0.9852352,0.98299515,0.9859393,0.987571,0.9946757,0.99095386,0.9929372,0.9928266,0.99292696,0.9932903,0.9870962,0.9894022,0.9928063,0.9925771,0.9937541,0.9941812,0.993145,0.99429643,0.99432653,0.99257255,0.9891471,0.9906318,0.9831909,0.98557645,0.99039507,0.99056035,0.98979086,0.9893487,0.9923644,0.991373,0.99044466,0.99018633,0.99184537,0.9895454,0.9929942,0.9931148,0.9940137,0.9960617,0.99375224,0.994489,0.99696594,0.9969563,0.99606895,0.99540305
1_org_5,0.9900205,0.9940175,0.9986747,0.9981327,0.9963859,1.0,0.9988509,0.9861206,0.99720204,0.99837506,0.9953881,0.9753879,0.98807704,0.9937171,0.9900064,0.9907747,0.99501324,0.9878675,0.9902999,0.9960513,0.97142464,0.98833084,0.97569835,0.9867654,0.99183184,0.9853159,0.9839673,0.9952511,0.9919902,0.99069047,0.99131393,0.9942388,0.9915829,0.9944742,0.99297285,0.9927089,0.99344933,0.99073917,0.9940686,0.9935724,0.99299777,0.99407107,0.9913124,0.98924565,0.9879357,0.9896079,0.98527443,0.9794933,0.9210253,0.96164435,0.9887751,0.9797806,0.9636909,0.9891781,0.9919369,0.9819376,0.9892838,0.9891705,0.9915423,0.98509693,0.9737457,0.9899321,0.99234515,0.99099296,0.9924747,0.98329103,0.98768806,0.9927289,0.98975426,0.98454726,0.9822448,0.98594105,0.9879928,0.9879426,0.99195987,0.99283725,0.99289256,0.99211556,0.99420094,0.9933836,0.9964011,0.99467975,0.9951555,0.92484874,0.9733747,0.97612727,0.9708159,0.9750201,0.9762748,0.9760887,0.9731558,0.97030395,0.9801359,0.98457086,0.98623794,0.98552287,0.98453015,0.9847501,0.9835795,0.986032,0.985059,0.9944149,0.99112463,0.99080664,0.99171144,0.99211305,0.99400425,0.985392,0.99090886,0.99278927,0.9918295,0.993088,0.9969277,0.99545145,0.9916092,0.9941458,0.99310994,0.99250394,0.9912344,0.98389214,0.9886836,0.99389815,0.9951069,0.9933242,0.991515,0.9964669,0.9946586,0.99296916,0.9936973,0.9963734,0.99117386,0.99456054,0.99391353,0.995788,0.9957571,0.99554336,0.9956755,0.9961261,0.9949673,0.99699074,0.9962479
1_org_6,0.988772,0.99612266,0.9991142,0.9986005,0.99761385,0.9988509,1.0000005,0.9888465,0.9979903,0.9985438,0.99453264,0.96992856,0.9825733,0.99099976,0.9858298,0.98561114,0.99202925,0.98600036,0.9887825,0.9943676,0.96980566,0.98478556,0.97296256,0.9868375,0.98783284,0.98082215,0.9810632,0.99292517,0.99134624,0.9868352,0.9872007,0.9923355,0.987339,0.9920738,0.9918161,0.98989516,0.990341,0.98996264,0.9921863,0.99332327,0.9919343,0.9935624,0.99441755,0.9925842,0.99139416,0.99351656,0.98997146,0.984387,0.92461854,0.9642426,0.99102205,0.9830698,0.96548915,0.9911235,0.9946016,0.9846353,0.9930016,0.99274534,0.99385446,0.98741716,0.97044873,0.9862096,0.9893175,0.9879472,0.99005014,0.98059577,0.984694,0.99052703,0.98622704,0.9808129,0.9785431,0.982484,0.9848597,0.9834983,0.988574,0.9904255,0.98976415,0.9883068,0.99144083,0.9907199,0.9945554,0.99366146,0.9940895,0.92119807,0.968588,0.972329,0.96627754,0.9702492,0.9737503,0.97334707,0.968685,0.9656214,0.9772189,0.9812051,0.9839485,0.98260516,0.98142296,0.98226994,0.980235,0.98363197,0.9829158,0.99334973,0.98895586,0.98955417,0.9899044,0.99026257,0.992307,0.98350996,0.9899279,0.9923313,0.99056506,0.9926705,0.9953054,0.9936678,0.9930004,0.99429536,0.9920706,0.99135405,0.9908807,0.9803996,0.9848046,0.99072987,0.99254096,0.9906032,0.98880094,0.9939218,0.99205786,0.99026066,0.9909744,0.99416256,0.98830724,0.9930794,0.9936574,0.99504507,0.9953924,0.9946933,0.9948454,0.99662775,0.9959269,0.9967082,0.9955822
1_org_7,0.9783231,0.99082816,0.98894316,0.9901241,0.9914975,0.9861206,0.9888465,1.0000001,0.99432665,0.98727536,0.99081975,0.97272563,0.9765012,0.9879703,0.98118067,0.97644377,0.98696554,0.9899361,0.9899709,0.9874518,0.9845819,0.96991515,0.97466713,0.99179125,0.9688126,0.96888494,0.9744494,0.98213476,0.9877647,0.9682275,0.9715935,0.980344,0.96609265,0.9713215,0.9729575,0.97014505,0.9708258,0.9725921,0.9808848,0.9827955,0.9758208,0.9825588,0.98847777,0.98732615,0.9883784,0.98974025,0.9904507,0.9951536,0.9662395,0.98768777,0.99330807,0.99305224,0.98696417,0.9950685,0.9904864,0.9965527,0.9933979,0.99003005,0.9891356,0.9954087,0.9780248,0.9706571,0.9732579,0.9717573,0.97749007,0.97979283,0.971517,0.9743949,0.96855193,0.9682273,0.9695774,0.9724817,0.971042,0.9676258,0.9709151,0.9781126,0.9711517,0.9699952,0.9742528,0.9818568,0.97979146,0.9750113,0.98086387,0.9444491,0.9568182,0.9604569,0.957407,0.9595266,0.9638802,0.9628825,0.9556516,0.9617721,0.97345036,0.9635317,0.9695594,0.9666788,0.9642954,0.96702945,0.96470827,0.9685155,0.9747759,0.9854283,0.9813862,0.9859653,0.9839311,0.9820168,0.983402,0.98460823,0.98334235,0.98566157,0.98618066,0.9862155,0.98787403,0.98178065,0.97988975,0.98076886,0.9833703,0.9802626,0.98525906,0.978451,0.9695089,0.97474784,0.97423506,0.9749147,0.9736253,0.9786605,0.9763704,0.9742166,0.9730224,0.97709876,0.98050517,0.98222804,0.97900957,0.97861165,0.98652136,0.9795052,0.97813994,0.98574835,0.9887579,0.98346704,0.98639554
1_org_8,0.9852922,0.9955231,0.99834424,0.9981733,0.997286,0.99720204,0.9979903,0.99432665,0.99999994,0.9975569,0.9954055,0.97349185,0.9838089,0.9935152,0.9869161,0.98598695,0.9940576,0.9902369,0.9918961,0.99541944,0.9777308,0.98045236,0.97438836,0.9911578,0.983436,0.97769755,0.9795103,0.99123263,0.99075824,0.982284,0.9838625,0.9891011,0.98172414,0.9868219,0.9866125,0.9847244,0.98557407,0.9846095,0.9893133,0.9906952,0.9874597,0.9907032,0.99484164,0.993954,0.9933006,0.99418706,0.99207187,0.98938096,0.9410326,0.9754217,0.9954769,0.98976076,0.97582096,0.99580413,0.9959658,0.99109614,0.9955536,0.99472517,0.9956384,0.99259734,0.9748726,0.9826408,0.9855516,0.98387706,0.98719174,0.98190546,0.98129547,0.9864645,0.9814654,0.9772922,0.9758515,0.9801237,0.9815151,0.97989595,0.984931,0.9876912,0.98573554,0.984251,0.98800486,0.9896321,0.9917733,0.9897768,0.9921507,0.9288682,0.9644412,0.96751064,0.96234745,0.9661592,0.9690401,0.9684107,0.96332175,0.9636722,0.97600836,0.975876,0.97930217,0.9773441,0.97599024,0.977063,0.9747965,0.9787017,0.9799014,0.9929011,0.98852783,0.9896575,0.98940563,0.989087,0.9914594,0.985414,0.9909002,0.9920237,0.9907141,0.9925566,0.9952566,0.991583,0.9896392,0.9916082,0.99137044,0.99108624,0.99185544,0.9802767,0.98017085,0.98658127,0.988024,0.98597354,0.98427016,0.9903919,0.9879566,0.98596543,0.9860789,0.99016124,0.9860424,0.99109364,0.98966753,0.99086416,0.99415237,0.99121976,0.9904635,0.99464476,0.9953691,0.9940616,0.99386144
1_org_9,0.98668987,0.9942984,0.9990952,0.99692446,0.99681693,0.99837506,0.9985438,0.98727536,0.9975569,1.0000005,0.99459827,0.9690447,0.98281485,0.9901291,0.98388994,0.98452413,0.9913775,0.9835601,0.9862956,0.99503547,0.96762925,0.98338723,0.9698732,0.9835508,0.9872854,0.9791788,0.9785457,0.9918351,0.98953986,0.98543733,0.9855771,0.99169344,0.9868204,0.9923969,0.99247324,0.99027693,0.99031246,0.9900112,0.9910301,0.99250025,0.9924195,0.9934074,0.9946484,0.99356514,0.99091446,0.9936736,0.9901949,0.9824344,0.9208471,0.9605788,0.98928183,0.9824175,0.96050763,0.98962337,0.9944715,0.98193985,0.99217665,0.9925763,0.9945811,0.98449904,0.9662424,0.9838034,0.9866759,0.98478484,0.9868739,0.97670627,0.98117673,0.9872743,0.9837229,0.977068,0.9749222,0.98478854,0.9875214,0.9852894,0.9902235,0.99116427,0.9912551,0.9897376,0.9930713,0.9900199,0.9947885,0.9945769,0.9943384,0.91573554,0.9646119,0.96892726,0.96182877,0.9672164,0.973585,0.9724749,0.9660471,0.9625181,0.9762242,0.98206484,0.98455256,0.9828092,0.98188263,0.98276097,0.98019123,0.9847005,0.98221534,0.99165666,0.98708016,0.9878665,0.988506,0.9884273,0.99055475,0.9807287,0.9865706,0.9890249,0.9881179,0.9905147,0.9940209,0.9915341,0.99004406,0.99135244,0.9889627,0.9884485,0.98776895,0.9785144,0.98406285,0.9908707,0.9938776,0.98999953,0.9875328,0.9937151,0.9925376,0.990716,0.9914669,0.99527246,0.9876671,0.9904734,0.9934285,0.9947539,0.99580127,0.9943496,0.9943389,0.9976313,0.99531513,0.9966126,0.994268
